N. MODULO FV;MODELLO;SERIALE;PALLET;PMAX;VPM;IPM;VOC;ISC;FF
;P650-MC4-RL5;'SJ3519A-0123835CB-4A     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-01238283D-AF     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-012382E63-DB     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-0123836CB-4B     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-012383016-90     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3419A-012342DDE-51     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-01238272F-A0     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-012382C4B-C1     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-012383919-9C     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-0123827FD-6E     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ3519A-012383333-B0     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012570B84-F8     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012575023-DC     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012574F10-C8     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01257542A-E7     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012575160-1A     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012555847-06     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01258248B-19     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4019A-012523F5D-00     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-0125823C7-54     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256EFBE-15     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012567C8A-6E     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256F225-7F     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256F37C-D7     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256963E-3C     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01258239C-29     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-0125657B2-71     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256AB6B-7E     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256AF4C-63     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-0125750CE-87     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256EE71-C7     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256AB57-6A     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012574ECD-84     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256753A-17     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012544F2B-E0     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012569EFD-03     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012567004-DC     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012567D41-26     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-012575471-2E     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256963F-3D     ;                          ;        ;        ;        ;        ;        ;        
;P650-MC4-RL5;'SJ4119A-01256AA7F-91     ;                          ;        ;        ;        ;        ;        ;        
